
Rate modification view 1:

			Reaction			 Modification Factor 
br115 -> n + kr114 + electron + anti-neutrino_e          0.0000e+00
br115 -> n + n + kr113 + electron + anti-neutrino_e      0.0000e+00
br115 -> n + n + n + kr112 + electron + anti-neutrino_e  0.0000e+00
br116 -> n + kr115 + electron + anti-neutrino_e          0.0000e+00
br116 -> n + n + kr114 + electron + anti-neutrino_e      0.0000e+00
br116 -> n + n + n + kr113 + electron + anti-neutrino_e  0.0000e+00
br117 -> n + kr116 + electron + anti-neutrino_e          0.0000e+00
br117 -> n + n + kr115 + electron + anti-neutrino_e      0.0000e+00
br117 -> n + n + n + kr114 + electron + anti-neutrino_e  0.0000e+00
br118 -> n + kr117 + electron + anti-neutrino_e          0.0000e+00
br118 -> n + n + kr116 + electron + anti-neutrino_e      0.0000e+00
br118 -> n + n + n + kr115 + electron + anti-neutrino_e  0.0000e+00
br119 -> n + kr118 + electron + anti-neutrino_e          0.0000e+00
br119 -> n + n + kr117 + electron + anti-neutrino_e      0.0000e+00
br119 -> n + n + n + kr116 + electron + anti-neutrino_e  0.0000e+00
br120 -> n + kr119 + electron + anti-neutrino_e          0.0000e+00
br121 -> n + kr120 + electron + anti-neutrino_e          0.0000e+00
br87 -> n + kr86 + electron + anti-neutrino_e            0.0000e+00
br88 -> n + kr87 + electron + anti-neutrino_e            0.0000e+00
br89 -> n + kr88 + electron + anti-neutrino_e            0.0000e+00
br90 -> n + kr89 + electron + anti-neutrino_e            0.0000e+00
br91 -> n + kr90 + electron + anti-neutrino_e            0.0000e+00
br92 -> n + kr91 + electron + anti-neutrino_e            0.0000e+00
br92 -> n + n + kr90 + electron + anti-neutrino_e        0.0000e+00
br93 -> n + kr92 + electron + anti-neutrino_e            0.0000e+00
br93 -> n + n + kr91 + electron + anti-neutrino_e        0.0000e+00
br94 -> n + kr93 + electron + anti-neutrino_e            0.0000e+00
br94 -> n + n + kr92 + electron + anti-neutrino_e        0.0000e+00
br95 -> n + kr94 + electron + anti-neutrino_e            0.0000e+00
br95 -> n + n + kr93 + electron + anti-neutrino_e        0.0000e+00
br96 -> n + kr95 + electron + anti-neutrino_e            0.0000e+00
br96 -> n + n + kr94 + electron + anti-neutrino_e        0.0000e+00
br97 -> n + kr96 + electron + anti-neutrino_e            0.0000e+00
br97 -> n + n + kr95 + electron + anti-neutrino_e        0.0000e+00
br97 -> n + n + n + kr94 + electron + anti-neutrino_e    0.0000e+00
br98 -> n + kr97 + electron + anti-neutrino_e            0.0000e+00
br98 -> n + n + kr96 + electron + anti-neutrino_e        0.0000e+00
br98 -> n + n + n + kr95 + electron + anti-neutrino_e    0.0000e+00
br99 -> n + kr98 + electron + anti-neutrino_e            0.0000e+00
br99 -> n + n + kr97 + electron + anti-neutrino_e        0.0000e+00
br99 -> n + n + n + kr96 + electron + anti-neutrino_e    0.0000e+00
c16 -> n + n15 + electron + anti-neutrino_e              0.0000e+00
c17 -> n + n16 + electron + anti-neutrino_e              0.0000e+00
c18 -> n + n17 + electron + anti-neutrino_e              0.0000e+00
c19 -> n + n18 + electron + anti-neutrino_e              0.0000e+00
c20 -> n + n19 + electron + anti-neutrino_e              0.0000e+00
c22 -> n + n + n20 + electron + anti-neutrino_e          0.0000e+00
c22 -> n + n21 + electron + anti-neutrino_e              0.0000e+00
ca51 -> n + sc50 + electron + anti-neutrino_e            0.0000e+00
ca52 -> n + sc51 + electron + anti-neutrino_e            0.0000e+00
ca53 -> n + sc52 + electron + anti-neutrino_e            0.0000e+00
ca54 -> n + sc53 + electron + anti-neutrino_e            0.0000e+00
ca55 -> n + n + sc53 + electron + anti-neutrino_e        0.0000e+00
ca55 -> n + sc54 + electron + anti-neutrino_e            0.0000e+00
ca56 -> n + n + n + sc53 + electron + anti-neutrino_e    0.0000e+00
ca56 -> n + n + sc54 + electron + anti-neutrino_e        0.0000e+00
ca56 -> n + sc55 + electron + anti-neutrino_e            0.0000e+00
ca57 -> n + n + n + sc54 + electron + anti-neutrino_e    0.0000e+00
ca57 -> n + n + sc55 + electron + anti-neutrino_e        0.0000e+00
ca57 -> n + sc56 + electron + anti-neutrino_e            0.0000e+00
ca58 -> n + n + n + sc55 + electron + anti-neutrino_e    0.0000e+00
ca58 -> n + n + sc56 + electron + anti-neutrino_e        0.0000e+00
ca58 -> n + sc57 + electron + anti-neutrino_e            0.0000e+00
